"run_ID"	"NIE"	"NIE.q025"	"NIE.q975"	"NIE.CIl95"	"NDE"	"NDE.q025"	"NDE.q975"	"NDE.CIl95"	"ATE"	"ATE.q025"	"ATE.q975"	"ATE.CIl95"
211	2.59347806666138	-0.898952837561651	5.07210098700977	5.97105382457142	0.786382186237967	-2.42157091886342	4.63931613784878	7.0608870567122	3.20614635288171	1.29915500862167	5.50537388578366	4.20621887716198
98	1.89333613306103	-2.73026366095423	5.06107965430424	7.79134331525847	2.74491437342829	-0.483344860966861	7.93243596990016	8.41578083086702	4.68336760295226	2.36393322002488	7.48661905049307	5.12268583046819
154	1.10479480778662	-1.94394019312608	4.14633115895917	6.09027135208526	3.19645436453012	-0.0933408417231117	6.50780052955044	6.60114137127355	4.28986598493189	2.26817067844495	6.63601928155286	4.36784860310792
147	3.21904429748831	-0.159644023853086	6.72984162855321	6.8894856524063	1.88975545902917	-2.22169521271315	5.80273214106802	8.02442735378116	5.11848153702812	2.54593697044543	7.03795996092456	4.49202299047913
136	-0.276947668171433	-2.32981169806393	2.64852592376466	4.97833762182858	6.37329879722283	3.23128058732532	9.21318804614546	5.98190745882014	6.22431955131842	4.15507532405927	8.77366615210405	4.61859082804478
212	1.90637952936545	-1.31462599238997	4.88514317225429	6.19976916464426	3.1727162536895	-0.369548438339293	6.35044423639915	6.71999267473844	4.8940142581256	2.5444630719706	7.31619535823816	4.77173228626757
132	2.13510969432437	-1.07391975825932	6.15500570661671	7.22892546487604	2.69774181725579	-0.980505520716642	5.9065256856273	6.88703120634394	4.85892719212459	2.60447697234922	7.01843254959374	4.41395557724452
214	1.46795439887095	-1.56268993956903	4.91584114652035	6.47853108608938	2.19652753730789	-2.33261293827808	5.47472324454271	7.80733618282079	3.55228521765558	0.937226427469542	6.1063547691551	5.16912834168556
210	0.199284237798532	-3.25139612913256	3.39716039394639	6.64855652307895	2.85239234819437	-0.446424169271929	5.71753048503924	6.16395465431117	3.03806465925002	0.620280967193718	5.88411690358031	5.26383593638659
253	1.48427050822321	-1.29111949534722	5.38934493200979	6.68046442735701	3.43295215480214	-0.117984127573047	6.64954846109395	6.76753258866699	4.93637234821009	2.43230395543127	7.59250754571931	5.16020359028804
215	1.55147330721754	-1.43872372035865	4.38590385826389	5.82462757862254	1.02441845200693	-2.8896785782086	4.81593123766524	7.70560981587384	2.5407520032549	0.344373176884298	4.99927002541741	4.65489684853311
