"run_ID"	"NIE"	"NIE.q025"	"NIE.q975"	"NIE.CIl95"	"NDE"	"NDE.q025"	"NDE.q975"	"NDE.CIl95"	"ATE"	"ATE.q025"	"ATE.q975"	"ATE.CIl95"
365	2.81444060822343	0.830450030805948	5.30017866022138	4.46972862941543	4.85398456962389	1.1575541129251	8.7489842098849	7.5914300969598	7.5707468003096	4.31468676851967	11.3018406753633	6.9871539068436
369	1.81700839595371	0.160812555697218	3.9591875418133	3.79837498611608	1.00853831670242	-2.15597604807749	4.758343730812	6.91431977888949	2.85153949339613	-0.011766178653791	6.76222989523133	6.77399607388513
366	-0.868592124775602	-3.37179638244188	1.29916538209799	4.67096176453987	5.36446435595134	1.75458005209284	9.41808152876742	7.66350147667458	4.66584390224005	1.45723772056603	7.26964449654556	5.81240677597953
364	1.99584413528893	0.363347231513851	3.82254879524701	3.45920156373316	2.10614875932083	-1.53411986201191	5.65492797188221	7.18904783389413	4.11251953443267	0.776585246462496	7.19490388480013	6.41831863833764
370	2.83271057658235	0.979015161771359	4.87797907659561	3.89896391482425	1.69725767785529	-1.38554474365933	5.18521999046157	6.5707647341209	4.69025839233666	1.43012260917208	7.64932886453504	6.21920625536295
314	1.89515574972575	0.00258039137566116	3.97240801151045	3.96982762013479	-0.944330013177341	-4.26398053040813	3.21008444648609	7.47406497689422	1.03045121351851	-1.99198786134908	4.43002560860643	6.4220134699555
302	3.60928406956886	1.86880421175724	6.05903529115628	4.19023107939903	0.128047671829198	-3.62859699818635	3.81542294448266	7.44401994266901	3.82699859036828	0.991435032894053	7.17838060089767	6.18694556800361
333	1.87332512822238	0.0587266899399819	3.92212492857928	3.8633982386393	6.05047105173838	2.35461012910244	9.51970791071091	7.16509778160848	7.9433288462281	4.66524115973379	11.2756713221765	6.61043016244268
335	1.60755749064427	-0.0756240444070437	3.39029347254449	3.46591751695153	2.83309504914705	-0.198561503620532	6.50733333016567	6.7058948337862	4.54184829982728	1.5720371874376	7.52827690428216	5.95623971684455
338	1.32876548727866	-0.631768056243284	3.28528798239109	3.91705603863438	2.28111718529969	-1.21008761354213	5.86401104473086	7.07409865827299	3.684669690197	0.677240980600057	6.67356388045582	5.99632289985576
339	2.79595042316403	1.08599508845054	4.87350717164898	3.78751208319843	5.97970488494718	2.80808984938527	9.50989484252291	6.70180499313764	8.64098998174233	6.10227388194906	11.9166799913886	5.81440610943958
334	2.81850792258559	0.816155317213068	4.92850385506773	4.11234853785466	2.72771518413137	-0.452255720173478	6.83119768216536	7.28345340233883	5.71630434565568	2.44751490457576	8.98179100249143	6.53427609791567
337	2.09418149480261	0.488879791786068	4.37946880314992	3.89058901136385	-1.37486068531384	-5.046879767675	2.26507451699885	7.31195428467385	0.819582352068617	-2.74403738598855	4.14566557922129	6.88970296520984
332	1.00529891425353	-0.438485952152896	2.88700812898252	3.32549408113541	4.15265454293947	0.773406871625363	7.85227631510901	7.07886944348364	5.44082766756177	1.53465001942733	8.88405292911981	7.34940290969247
336	2.27089737937949	0.222091739856777	3.83174227516907	3.60965053531229	2.68866106971037	-0.38109381918984	6.75850404338344	7.13959786257328	4.99210303067929	1.65800692475311	8.2321054728359	6.57409854808279
340	3.63844118752764	1.90657452771367	6.1196524609733	4.21307793325963	3.5938424246264	0.135296952612791	7.27947298968111	7.14417603706832	7.44573665175395	4.18893398909574	10.4841941143725	6.29526012527672
312	3.60000889559206	1.70641322763218	6.00237906158005	4.29596583394787	2.60705283929838	-1.1627204313171	6.27260640336696	7.43532683468405	6.27512741459367	3.19214359998848	9.42179269065542	6.22964909066694
313	3.26555222560178	1.32648166383187	5.67615336095636	4.34967169712449	1.98795358431011	-1.62789551732009	5.17918413005982	6.80707964737991	5.3167881308189	1.9768771580777	8.01240791327089	6.03553075519319
310	2.57815492744304	0.957213563136029	4.90015297566514	3.94293941252911	-0.0168792433964748	-3.34765528374747	4.03335831365688	7.38101359740435	2.80626368976405	-0.305943403024064	5.96868288147116	6.27462628449523
311	2.45656376452244	0.795638162984246	4.62396202671694	3.82832386373269	3.10776201143929	-0.413261743318656	6.2897740028881	6.70303574620676	5.80748138650618	2.57930639336108	8.5316957828637	5.95238938950262
